soil_moisture,ph,nutrients_level,luminosity,temperature,air_humidity,productivity_index,productivity_classification,recommendation,irrigation_volume,fertilization_need
86.84,8.01,68.44,8.19,21.77,81.63,40.74,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
61.96,6.52,59.73,15.42,18.76,70.09,68.01,Moderada,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
52.98,6.02,85.18,10.89,24.72,80.72,68.33,Moderada,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Baixa
85.13,5.89,88.39,25.78,21.33,87.99,73.87,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Baixa
66.83,5.41,78.11,15.24,22.83,88.58,65.45,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
43.01,6.57,71.13,8.91,16.93,83.97,57.57,Moderada,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Média
55.26,6.82,40.71,32.44,20.96,77.15,64.35,Moderada,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
68.99,7.15,72.11,12.43,19.22,83.69,64.74,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
87.0,5.74,68.48,5.47,21.31,86.23,64.47,Moderada,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
71.53,6.79,88.35,28.09,20.86,62.8,88.96,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Baixa
86.43,5.0,76.74,34.29,22.51,71.21,61.76,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
75.93,5.65,63.91,15.81,17.89,54.87,68.07,Moderada,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
46.13,5.73,70.21,62.33,22.47,71.54,86.36,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Média
40.1,5.87,81.05,79.71,27.91,46.77,82.47,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Baixa
44.04,6.44,95.51,68.06,31.68,48.07,84.88,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Baixa
43.13,6.56,33.77,71.33,26.76,54.17,72.3,Alta,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
32.53,6.24,69.34,64.64,28.64,54.1,76.09,Alta,Irrigação recomendada.,5.0,Média
15.47,6.91,44.55,100,36.73,27.42,53.91,Moderada,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
40.96,5.72,91.26,89.17,34.74,39.65,75.33,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Baixa
40.21,6.18,49.75,93.48,31.24,41.21,68.18,Moderada,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
52.03,7.0,73.46,100,33.78,45.86,76.4,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Média
38.65,4.88,67.89,99.77,33.1,32.57,53.01,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
42.45,5.53,42.6,100,33.01,48.86,58.22,Moderada,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
49.86,6.36,86.79,68.28,33.96,41.54,93.1,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Baixa
23.75,6.81,89.4,72.88,30.25,41.36,77.33,Alta,Irrigação urgente recomendada.,8.0,Baixa
42.02,6.41,57.72,69.62,33.6,29.92,79.16,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Média
43.32,5.92,44.45,81.15,28.06,51.61,75.81,Alta,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
73.42,7.79,71.39,74.95,30.08,47.68,75.59,Alta,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
51.91,7.12,40.88,44.6,27.34,53.7,70.23,Alta,Irrigação bloqueada: corrigir pH e nível de nutrientes.,0.0,Alta
52.42,5.53,63.25,65.59,20.4,54.62,78.11,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Média
50.88,5.18,79.49,35.37,28.39,62.2,74.31,Alta,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
68.23,5.92,43.89,52.43,21.49,73.54,86.73,Alta,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
61.54,6.62,99.28,17.9,19.53,85.0,77.05,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Baixa
96.59,6.42,92.67,40.85,18.22,75.87,76.46,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Baixa
50.07,4.97,69.84,5,19.39,77.8,52.69,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
53.58,5.88,49.41,24.69,18.02,75.61,66.84,Moderada,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
59.47,6.3,77.13,19.73,16.13,80.14,68.48,Moderada,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
74.0,6.78,39.24,25.67,13.71,78.97,71.46,Alta,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
72.59,6.49,80.14,34.48,18.43,81.24,81.47,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Baixa
85.33,6.15,64.97,21.83,16.5,80.64,68.76,Moderada,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
58.59,5.51,71.71,29.45,16.27,89.28,73.25,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
69.75,5.62,90.67,23.57,22.4,78.7,85.5,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Baixa
60.86,6.68,67.65,26.44,19.6,75.72,78.47,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
52.95,6.18,34.58,5,19.58,76.46,59.14,Moderada,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
52.68,6.19,24.37,30.22,18.83,74.05,61.54,Moderada,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
69.14,6.56,87.69,27.97,18.0,78.04,83.22,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Baixa
90.01,6.06,49.05,11.72,17.52,83.46,47.59,Moderada,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
49.3,4.82,47.88,5,20.06,71.11,47.14,Moderada,Irrigação bloqueada: corrigir pH e nível de nutrientes.,0.0,Alta
68.97,6.62,81.33,5,13.4,83.43,75.31,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Baixa
62.57,5.22,87.85,5,18.6,86.0,68.42,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Baixa
73.49,6.05,80.28,15.09,19.05,90.24,80.44,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Baixa
98,5.4,61.31,36.65,21.15,73.02,57.33,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
65.7,6.71,62.27,39.52,20.34,70.58,81.27,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
62.68,6.85,50.9,11.3,17.6,82.18,63.4,Moderada,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
94.41,6.67,47.04,11.13,23.32,77.41,47.17,Moderada,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
60.61,6.81,94.28,22.92,15.23,95,84.55,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Baixa
81.37,6.34,42.8,8.05,18.13,84.9,58.3,Moderada,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
50.05,6.74,100,21.06,13.84,70.94,84.65,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Baixa
77.61,5.99,65.43,31.24,21.13,76.64,83.13,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
66.51,5.53,63.53,45.5,22.8,66.89,81.72,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
50.39,5.6,62.39,51.66,32.01,66.93,86.98,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Média
42.0,7.61,31.86,55.87,32.16,45.44,57.19,Moderada,Irrigação bloqueada: corrigir pH e nível de nutrientes.,0.0,Alta
61.21,3.93,33.48,47.28,28.61,50.92,55.7,Moderada,Irrigação bloqueada: corrigir pH e nível de nutrientes.,0.0,Alta
32.79,6.0,52.76,75.98,27.25,46.91,75.05,Alta,Irrigação recomendada.,5.0,Média
35.17,6.34,62.69,87.6,35.71,40.38,69.29,Moderada,Irrigação recomendada.,5.0,Média
29.41,5.11,88.9,65.93,33.12,35.88,69.37,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Baixa
22.82,6.87,54.22,100,33.39,27.8,54.58,Moderada,Irrigação urgente recomendada.,8.0,Média
35.61,5.94,21.38,87.25,32.31,32.26,60.35,Moderada,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
15.86,7.19,39.47,80.26,37.17,30.8,55.78,Moderada,Irrigação bloqueada: corrigir pH e nível de nutrientes.,0.0,Alta
40.63,6.15,91.11,96.57,31.83,27.12,74.25,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Baixa
31.01,7.17,82.79,100,27.26,41.26,65.08,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Baixa
63.77,6.68,63.3,75.34,29.55,26.96,93.16,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
29.03,6.45,74.4,89.63,34.25,32.64,68.49,Moderada,Irrigação recomendada.,5.0,Média
60.62,6.95,67.65,63.43,30.51,66.32,93.83,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
37.92,6.74,84.28,91.15,29.24,62.09,72.94,Alta,Irrigação recomendada.,5.0,Baixa
50.4,7.75,73.56,75.79,25.36,49.99,74.48,Alta,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
45.09,6.93,67.31,46.22,26.25,51.59,82.96,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Média
52.26,5.16,91.42,44.36,23.72,76.14,78.89,Alta,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Baixa
84.61,5.75,57.55,12.13,22.77,67.9,59.61,Moderada,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
50.59,5.1,41.05,16.49,18.59,65.03,47.61,Moderada,Irrigação bloqueada: corrigir pH e nível de nutrientes.,0.0,Alta
73.56,6.26,60.22,13.75,16.81,72.19,68.9,Moderada,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
32.88,5.81,28.92,39.11,19.77,85.8,61.16,Moderada,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
56.65,6.73,40.04,24.48,16.84,86.15,64.35,Moderada,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
90.92,5.99,59.88,25.04,20.71,80.98,51.82,Moderada,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
81.66,7.23,69.95,41.23,17.82,72.59,67.65,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
79.96,4.7,78.21,25.03,17.01,72.63,66.95,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
49.91,6.35,74.4,44.61,20.04,65.53,83.55,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Média
91.65,7.7,60.98,5,17.94,89.76,40.49,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
75.34,5.71,41.95,40.54,22.83,87.79,81.69,Alta,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
61.79,6.47,49.61,15.84,18.91,77.37,67.57,Moderada,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
76.34,7.7,57.18,22.95,18.75,76.05,63.63,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
62.26,6.89,71.39,30.67,12,75.91,80.28,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
51.81,6.17,65.86,27.64,16.12,76.03,71.89,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Média
88.11,6.83,71.34,11.27,21.9,89.34,67.02,Moderada,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
93.55,7.78,68.63,27.32,16.91,92.32,46.72,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
66.92,6.15,99.66,25.0,18.99,86.95,86.58,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Baixa
69.56,6.25,46.03,20.8,21.82,83.2,72.68,Alta,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
77.79,6.86,73.05,6.36,19.67,72.55,73.01,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
67.84,6.56,66.57,25.0,12.71,73.23,75.38,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
70.76,6.14,89.54,21.6,17.55,73.45,85.3,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Baixa
52.32,5.2,100,28.82,20.03,75.24,69.8,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Baixa
60.56,4.9,50.03,17.48,17.85,79.75,49.03,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
70.85,5.86,84.78,18.48,16.81,76.5,75.23,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Baixa
66.66,6.61,73.94,22.7,14.76,87.25,79.3,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
83.2,6.66,46.76,22.61,17.77,92.77,62.69,Moderada,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
54.64,7.18,68.06,21.17,20.04,80.1,59.48,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
58.78,5.84,62.15,32.41,14.35,65.12,69.55,Moderada,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
42.02,7.24,38.82,39.66,29.17,75.65,55.17,Moderada,Irrigação bloqueada: corrigir pH e nível de nutrientes.,0.0,Alta
43.11,6.19,64.76,73.3,18.83,65.6,81.68,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Média
50.38,5.68,66.93,52.89,27.3,61.45,85.72,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Média
53.56,6.17,64.66,80.11,25.88,48.71,84.87,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Média
35.78,7.17,71.91,67.18,27.55,52.21,68.54,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
60.53,6.03,55.26,84.02,31.66,51.72,87.3,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
46.58,5.93,54.71,72.9,29.55,45.47,83.3,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Média
41.19,5.5,82.89,81.6,29.19,40.22,76.59,Alta,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Baixa
41.58,6.97,97.81,89.89,33.3,44.58,78.4,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Baixa
23.19,6.98,39.76,95.28,35.8,37.3,58.16,Moderada,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
62.86,5.59,47.12,99.85,33.48,40.77,74.03,Alta,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
46.7,5.69,96.85,84.47,29.3,42.66,89.48,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Baixa
48.41,5.84,49.4,69.35,33.14,41.54,79.49,Alta,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
52.95,6.74,86.73,72.42,32.8,41.79,92.68,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Baixa
39.51,4.93,73.25,84.95,32.57,44.55,62.88,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
31.31,6.04,58.68,74.32,30.59,41.48,76.34,Alta,Irrigação recomendada.,5.0,Média
21.06,6.84,44.5,48.75,27.67,42.92,58.48,Moderada,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
52.96,7.04,76.09,37.99,21.49,57.81,73.37,Alta,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
49.6,7.06,99.83,55.88,27.93,69.22,87.86,Alta,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Baixa
44.37,5.46,67.11,59.37,25.59,77.92,66.35,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
68.27,5.29,59.11,22.02,23.6,71.2,71.09,Alta,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
86.86,5.64,91.72,22.5,19.93,95,75.14,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Baixa
55.1,6.64,77.43,19.79,19.05,90.58,70.14,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
78.93,6.56,42.8,17.48,22.21,76.31,66.72,Moderada,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
63.74,5.22,98.43,22.15,17.86,76.11,75.54,Alta,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Baixa
76.07,7.44,62.38,12.06,22.66,86.68,60.48,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
47.82,7.23,78.37,30.13,21.55,79.38,63.66,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
54.79,5.82,53.0,29.36,14.39,78.14,66.72,Moderada,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Média
81.71,6.02,69.44,28.69,19.94,87.03,72.45,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
79.86,7.09,35.88,40.48,21.88,93.05,72.42,Alta,Irrigação bloqueada: corrigir pH e nível de nutrientes.,0.0,Alta
60.73,6.61,83.12,22.56,19.17,77.78,78.29,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Baixa
71.99,6.05,56.14,22.62,17.21,74.39,73.36,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
54.29,6.16,75.29,23.38,18.97,73.27,71.2,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Média
60.18,5.71,71.49,25.86,16.36,95,76.87,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
64.0,5.91,68.0,29.93,24.76,78.9,81.83,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
87.16,6.66,56.13,30.73,16.11,94.37,67.95,Moderada,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
37.6,6.99,71.45,10.45,20.5,79.47,61.81,Moderada,Irrigação recomendada.,5.0,Média
74.6,6.52,100,18.37,19.6,90.92,79.58,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Baixa
48.18,5.23,77.61,22.03,24.55,75.56,68.47,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
87.76,6.23,68.59,28.9,14.67,90.05,72.59,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
61.31,5.39,79.36,24.41,21.05,73.31,74.92,Alta,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
75.07,5.95,70.32,18.81,19.95,69.55,75.37,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
66.12,6.72,45.55,10.92,22.83,82.99,67.87,Moderada,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
59.95,6.58,66.93,20.74,22.32,80.27,68.8,Moderada,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
